,lat,lon,address,cost,time
219,37.68078518518519,-122.35137777777778,"Brisbane, California, 94005, us",,
220,37.68078518518519,-122.34541481481482,"Brisbane, California, 94005, us",,
221,37.68078518518519,-122.33945185185185,"Brisbane, California, 94005, us",,
222,37.68078518518519,-122.33348888888891,"Brisbane, California, 94005, us",,
223,37.68078518518519,-122.32752592592593,"Brisbane, California, 94005, us",,
224,37.68078518518519,-122.32156296296296,"Brisbane, California, 94005, us",,
225,37.68078518518519,-122.3156,"Brisbane, California, 94005, us",,
226,37.68078518518519,-122.30963703703705,"Brisbane, California, 94005, us",,
227,37.68078518518519,-122.30367407407408,"Brisbane, California, 94005, us",,
228,37.68078518518519,-122.29771111111113,"Brisbane, California, 94005, us",,
229,37.68078518518519,-122.29174814814813,"Brisbane, California, 94005, us",,
230,37.68078518518519,-122.2857851851852,"Brisbane, California, 94005, us",,
231,37.68078518518519,-122.27982222222221,"Brisbane, California, 94005, us",,
232,37.68078518518519,-122.27385925925924,"Brisbane, California, 94005, us",,
233,37.68078518518519,-122.26789629629629,"Brisbane, California, 94005, us",,
234,37.68078518518519,-122.26193333333332,"Brisbane, California, 94005, us",,
235,37.68674814814815,-122.53026666666668,"California, us",,
236,37.68674814814815,-122.52430370370372,"California, us",,
237,37.68674814814815,-122.51834074074075,"California, us",,
238,37.68674814814815,-122.5123777777778,"California, us",,
239,37.68674814814815,-122.50641481481482,"California, us",5.25,88.56666666666666
240,37.68674814814815,-122.50045185185186,"Palisades Drive, California, 94015, us",5.25,67.9
241,37.68674814814815,-122.49448888888891,"Palisades Drive, California, 94015, us",5.25,69.7
242,37.68674814814815,-122.48852592592593,,5.25,71.13333333333334
243,37.68674814814815,-122.48256296296294,,5.25,78.71666666666667
244,37.68674814814815,-122.4766,,5.25,73.58333333333333
245,37.68674814814815,-122.47063703703705,,5.25,67.33333333333333
246,37.68674814814815,-122.46467407407408,,5.25,62.483333333333334
247,37.68674814814815,-122.45871111111113,,5.25,56.166666666666664
248,37.68674814814815,-122.45274814814816,,5.25,72.05
249,37.68674814814815,-122.4467851851852,,5.25,67.23333333333333
250,37.68674814814815,-122.44082222222221,,5.25,91.23333333333333
251,37.68674814814815,-122.43485925925928,,,132.46666666666667
252,37.68674814814815,-122.42889629629629,,,126.96666666666667
253,37.68674814814815,-122.42293333333332,,,89.4
254,37.68674814814815,-122.41697037037036,,2.25,75.31666666666666
255,37.68674814814815,-122.4110074074074,,2.25,67.58333333333333
256,37.68674814814815,-122.40504444444444,,2.25,60.78333333333333
257,37.68674814814815,-122.39908148148147,,2.25,56.95
258,37.68674814814815,-122.3961,,2.25,57.11666666666667
259,37.68674814814815,-122.39311851851852,,2.25,67.95
260,37.68674814814815,-122.38715555555555,,2.25,75.31666666666666
261,37.68674814814815,-122.3811925925926,,2.25,85.85
262,37.68674814814815,-122.37522962962964,,,
263,37.68674814814815,-122.36926666666668,,,
264,37.68674814814815,-122.3633037037037,,,
265,37.68674814814815,-122.35734074074074,,,
266,37.68674814814815,-122.35137777777778,,,
267,37.68674814814815,-122.34541481481482,,,
268,37.68674814814815,-122.33945185185185,,,
269,37.68674814814815,-122.33348888888891,,,
270,37.68674814814815,-122.32752592592593,,,
271,37.68674814814815,-122.32156296296296,,,
